Date,Open,High,Low,Close,Adj Close,Volume
2013-08-05,156.339996,156.619995,154.440002,155.100006,131.017731,2280150
2013-08-12,154.339996,155.619995,151.580002,151.919998,128.331451,4245450
2013-08-19,151.699997,152.800003,150.399994,152.600006,128.905945,3317000
2013-08-26,152.800003,153.259995,149.339996,149.699997,126.456177,3966950
2013-09-02,151.320007,152.940002,149.940002,152.059998,128.449738,4071700
2013-09-09,152.500000,155.339996,152.500000,155.139999,131.051544,4427200
2013-09-16,156.820007,159.039993,155.779999,157.100006,132.707169,7611750
2013-09-23,156.160004,156.300003,154.339996,154.860001,130.814987,5850300
2013-09-30,153.399994,155.259995,152.839996,154.720001,131.353928,5872000
2013-10-07,153.360001,156.020004,150.720001,155.960007,132.406631,6779650
2013-10-14,155.020004,159.860001,154.880005,159.740005,135.615768,10387900
2013-10-21,159.839996,161.199997,159.380005,161.199997,136.855255,5137600
2013-10-28,161.149994,162.619995,160.529999,161.339996,136.974152,8140400
2013-11-04,161.910004,162.740005,160.100006,162.449997,137.916489,8469900
2013-11-11,162.279999,165.000000,161.330002,165.000000,140.081390,5806700
2013-11-18,165.279999,165.669998,163.080002,165.669998,140.650208,7471100
2013-11-25,165.929993,166.509995,165.259995,165.699997,140.675690,3024000
2013-12-02,165.949997,166.220001,163.389999,165.839996,140.794540,6237200
2013-12-09,166.250000,166.429993,162.869995,163.179993,138.536240,10017900
2013-12-16,163.960007,167.649994,162.009995,167.179993,141.932159,8976700
2013-12-23,168.070007,168.949997,167.220001,168.440002,143.001892,3963700
2013-12-30,168.460007,169.229996,167.199997,167.479996,142.960236,5329000
2014-01-06,168.110001,168.750000,166.820007,168.660004,143.967514,7418600
2014-01-13,168.289993,169.429993,166.149994,168.210007,143.583389,4830400
2014-01-20,169.220001,169.279999,163.869995,163.880005,139.887283,5240500
2014-01-27,164.070007,164.720001,162.070007,163.179993,139.289795,8704700
2014-02-03,163.020004,164.779999,159.179993,164.669998,140.561646,8155300
2014-02-10,164.639999,168.910004,164.199997,168.610001,143.924850,6543600
2014-02-17,168.740005,169.479996,167.330002,168.570007,143.890671,4888600
2014-02-24,168.869995,171.470001,168.779999,170.630005,145.649078,4576700
2014-03-03,169.190002,173.130005,168.380005,172.419998,147.176987,6743100
2014-03-10,172.240005,172.919998,169.000000,169.229996,144.454056,5878900
2014-03-17,170.059998,173.190002,169.990005,171.419998,146.323425,5284800
2014-03-24,171.190002,171.639999,168.479996,169.899994,145.026016,5892200
2014-03-31,171.039993,173.820007,170.529999,170.740005,146.408340,7031400
2014-04-07,170.360001,171.490005,166.110001,166.259995,142.566757,7527100
2014-04-14,167.580002,171.240005,166.259995,170.740005,146.408340,6952200
2014-04-21,170.850006,172.630005,170.320007,170.710007,146.382584,4484000
